Column1,_1,Cpilot1,Cpilot2,BE1,BE2,BE3,E1,BE4,BE5,OE1,BE6,RG1,RG2,OE2,E2,RG3,BE7,BE8,OE3,OE4,E3,RG4,BE9,OE5,BE10,OE6,BE11,OE7,BE12,RG5,BE13,OE8,OE9,BE14,OE10,OE11,E4,BE15,C001,C002,C003,C004,C005,C006,C007,C008,C009,C10,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,P22,c023,C024,C025,C026
Trial078,BRAIN_3_NORMAL_Normal 4 vessels.png,0.574537432,0.66025498,0.652196506,0.60107034,0.559944987,0.653035556,0.611553394,0.692130165,0.609191042,0.663931506,0.513957963,0.652005746,0.638266884,0.6085805,0.620313121,0.652843729,0.852170099,0.637442337,0.646587918,0.604616406,0.64976966,0.603965851,0.648420977,0.697493301,0.60937788,0.67480687,0.656631625,0.606890154,0.593927448,0.579790885,0.662673581,0.690056877,0.615460766,0.708769303,0.606919023,0,0.552791503,0.628610237,0.66211568,0.618342469,0.492677928,0.551111045,0.550984603,0.571235859,0.511682367,0.638492554,0.666283228,0.840891234,0.612878178,0.624708843,0.474134779,0.565864745,0.601976158,0.569754933,0.589790206,0.614080266,0.590693702,0.556948786,0.541849898,0.556930613,0.545911133,0.549077014,0.712337443
Trial081,BRAIN_4_NORMAL_Normal Coronal T2.png,0.529795235,0.639346598,0.649769173,0.595799128,0.502710537,0.661807428,0.598643549,0.782485352,0.564943518,0.633733653,0.478685419,0.633748706,0.656104044,0.491678852,0.656944543,0.667263681,0.764089409,0.629494893,0.660960696,0.647867728,0.54514394,0.562660138,0.641609907,0.723207651,0.636302163,0.674872017,0.651917925,0.606737724,0.613495473,0.55548554,0.66614623,0.654086062,0.579968463,0.68723752,0.604084672,0.592448205,0.612063225,0.607807771,0.654147086,0.638523175,0.55363642,0.565085496,0.586369673,0.59655917,0.482593435,0.552818929,0.6430301,0.774800077,0.565381445,0.613727864,0.519257592,0.511642052,0.576160195,0.5057056,0.594422972,0.563580261,0.54563452,0.511973052,0.542534087,0.515971192,0.66350101,0.59644234,0.70202879
Trial096,BRAIN_9_NORMAL_Normal SSS.png,0.576698394,0.637268196,0.636149514,0.575065259,0.575632851,0.48694441,0.617477002,0.806274952,0.619289768,0.556777362,0.554063623,0.700865468,0.643995805,0.845133055,0.628176225,0.666462664,0.777759627,0.531964199,0.689847141,0.582954372,0.551497619,0.664860142,0.6088727,0.711287995,0.622967,0.705448645,0.669470505,0.621941367,0.629825932,0.647271854,0.782357459,0.707208885,0.617793698,0.6794438,0.744501538,0.676763032,0.628535856,0.576882461,0.55829563,0.689526271,0.510213486,0.468114493,0.576668635,0.559237325,0.59344779,0.513731156,0.694844565,0.692352206,0.603945167,0.643393387,0.554496918,0.529073517,0.505620214,0.611886304,0.582891974,0.567356177,0.617008847,0.766974457,0.664348913,0.672581997,0.628575623,0.754894656,0.586197624
Trial099,BRAIN_10_NORMAL_Normal Ax2.png,0.582760873,0.681959208,0.620394811,0.599894422,0.65987965,0.632316809,0.623665397,0.747330253,0.611062347,0.652997577,0.589463939,0.701378215,0.624071241,0.585079907,0.612247045,0.635234435,0.821837369,0.579939925,0.673609603,0.587507931,0.610885516,0.647113999,0.555172063,0.681103476,0.59653289,0.712388838,0.636473795,0.639309103,0.661894542,0.601935484,0.735806356,0.683910027,0.637597605,0.717076687,0.611736738,0.695861396,0.524623059,0.560746776,0.611483847,0.529864484,0.638577231,0.54528603,0.604252516,0.618714041,0.536170889,0.509579216,0.639530283,0.889458372,0.586079058,0.674801827,0.485802006,0.557288733,0.566438946,0.541865325,0.575734037,0.570054381,0.641528672,0.589213655,0.521208414,0.570360436,0.751260169,0.499625153,0
Trial102,BRAIN_11_NORMAL_Normal T2 post fossa.png,0.588569094,0.675900934,0.640428933,0.605397716,0.514666525,0.673545151,0.594313074,0.687451496,0.583595837,0.646243926,0.589673253,0.503517292,0.611253666,0.606586341,0.661729242,0.628812375,0.835444195,0.490148547,0.6129286,0.582123864,0.515792488,0.626087198,0.615532015,0.712630294,0.636109838,0.671353602,0.603748711,0.596697949,0.655471754,0.547347204,0.635847604,0.620758208,0.528008811,0.708835706,0.556958065,0.530308065,0.473127638,0.524648824,0.584333115,0.613847816,0.637289444,0.568885702,0.586008988,0.624917193,0.569179418,0.442821756,0.606059519,0.642064398,0.629462307,0.644924962,0,0.601937253,0.566054087,0.526443238,0.533602866,0.477648918,0.575720291,0.583186854,0.464037825,0.565563276,0.61941366,0.712827027,0
Trial108,BRAIN_13_NORMAL_T2 CPA.png,0.556899886,0.672203371,0.646337109,0.565751468,0.639070519,0.701011967,0.611942813,0.78219079,0.588753913,0.573121214,0.603926872,0.663155221,0.621569489,0.618270422,0.660229016,0.638759342,0.699547887,0.60477227,0.632443173,0.508780236,0.610437941,0.630102641,0.629663731,0.655190077,0.62962603,0.723451447,0.628259591,0.624386109,0.646426252,0.539585982,0.653649453,0.740403897,0.644622208,0.738524819,0.554415489,0.662211809,0.562232578,0.576761066,0.640628315,0.588654399,0.443010788,0.542812607,0.550970073,0.562944512,0.484177046,0.577262436,0.611339278,0.712631706,0.612674942,0.546454129,0.47577974,0.588598935,0.552377595,0.545325801,0.549436922,0.58926108,0.583476921,0.464254844,0.590319786,0.632152725,0.680378598,0.5187734,0
Trial120,BRAIN_17_NORMAL_Normal ax.png,0.526723308,0.619417162,0.644576765,0.598591853,0.648312375,0.634390618,0.6087979,0.675777324,0.61107719,0.665279389,0.526086226,0.699406168,0.637318665,0.569530188,0.670443136,0.6598587,0.855758602,0.578962836,0.709015733,0.61433421,0.628279801,0.623914804,0.51124787,0.656040972,0.631407048,0.68406048,0.61595804,0.628253824,0.537188131,0,0.660088921,0.69041833,0.619341836,0.71045968,0.440760655,0,0.585203711,0.579595361,0.617797842,0.46581453,0.645369802,0.761798662,0.498119132,0.582067926,0.545390515,0.604942088,0.667803425,0.699050481,0.625820274,0.652087044,0.403353045,0.581955734,0.494072406,0.548459544,0.571921721,0.55087767,0.613519313,0.601823548,0.601442984,0.555009322,0.560384419,0.478355861,0.785003275
Trial126,BRAIN_19_NORMAL_Normal CTA.png,0.552727986,0.697910856,0.654040155,0.593874175,0.610511818,0.597080117,0.618700669,0.756890499,0.600417234,0.632190633,0.546023091,0.688594904,0.599535379,0.619811441,0.600858042,0.668629901,0.78636815,0.549891149,0.621723996,0.610594698,0.466047242,0.658053509,0.611158069,0.642372082,0.630844904,0.695699332,0.668904324,0.618519142,0.640884697,0.551618035,0.763927529,0.761970017,0.673950202,0.779410528,0.440839,0,0.653486082,0.540834094,0.630258195,0.624661029,0.645991974,0.573214625,0.573167272,0.528465502,0.537561995,0.395343471,0.625642836,0.431187695,0.642574022,0.642316186,0.599279606,0.500527308,0.589782567,0.581459656,0.635750966,0.570186097,0.581994546,0.515287457,0.535552458,0.547893984,0.585480622,0.725873194,0.69467596
Trial135,BRAIN_22_NORMAL_Normal Insula.png,0.576017628,0.642906065,0.650090906,0.606919529,0.616341704,0.632481488,0.606118104,0.693015358,0.649236677,0.700358097,0.546071928,0.676679811,0.620033685,0.558220721,0.545906173,0.658490993,0.694843561,0.598817682,0.776168818,0.476718022,0.616653558,0.56165689,0.552301207,0.723194404,0.648696666,0.686461976,0.65071432,0.57698688,0.6508817,0.456363849,0.677859649,0.620853179,0.619206659,0.687670165,0.63796801,0,0.578304293,0.533776602,0.656681455,0.662550458,0.63025858,0.500594728,0.436998092,0.517471487,0.519346468,0.539521861,0.669390407,0.742563073,0.600711928,0.612858835,0.426906687,0.54652454,0.553138006,0.56218378,0.578584738,0.592914484,0.579285369,0.559195845,0.434775736,0.599555569,0.669836875,0.673895782,0.74239354
Trial138,BRAIN_23_NORMAL_norm T1+.png,0.578205388,0.620219362,0.643633593,0.615119012,0.641479882,0.627218775,0.589426576,0.689530507,0.612228159,0.607844089,0.57735974,0.67552322,0.620624092,0.547270144,0.621438378,0.639977245,0.889251372,0.589973144,0.697434823,0.62045083,0.593188099,0.62396127,0.53413754,0.711607894,0.623668893,0.676258776,0.662346712,0.607326703,0.650186514,0.492720644,0.702957919,0.655036731,0.629280453,0.713500684,0.54297079,0.847258956,0.610590284,0.587121316,0.590713062,0.643740178,0.62437895,0.604277981,0.631667483,0.595474382,0.524900015,0.499080213,0.615100736,0.622913282,0.613899347,0.65979981,0.485479446,0.579706439,0.565447152,0.573463351,0.558382577,0.577109575,0.602608802,0.558966841,0.548136828,0.543805001,0.539498109,0.646645622,0.671785318
